question,answer,contexts,ground_truth,faithfulness,answer_relevancy,context_precision,context_recall
Do turtles lay eggs underwater?,no,"['Turtles lay eggs, like other reptiles, which are slightly soft and leathery. The eggs of the largest species are spherical, while the eggs of the rest are elongated. Their albumen is white and contains a different protein than bird eggs, such that it will not coagulate when cooked. Turtle eggs prepared to eat consist mainly of yolk. In some species, temperature determines whether an egg develops into a male or a female: a higher temperature causes a female, a lower temperature causes a male. Large numbers of eggs are deposited in holes dug into mud or sand. They are then covered and left to in']",No,0.0,0.0,0.9999999999,1.0
Is it true that indonesia has vast areas of wilderness?,no,"[""Indonesia's 80,000 kilometers (50,000 mi) of coastline are surrounded by tropical seas that contribute to the country's high level of biodiversity. Indonesia has a range of sea and coastal ecosystems, including beaches, sand dunes, estuaries, mangroves, coral reefs, sea grass beds, coastal mudflats, tidal flats, algal beds, and small island ecosystems.""]",yes,0.0,0.0,0.0,0.0
Is Ghana in Asia?,no,['Regions of Ghana'],no,1.0,0.0,0.0,0.0
Was the Bucharest Metro only opened in 1979 ?,The Bucharest Metro was only opened in 1979.,"['Bucharest is the only city in Romania which has an underground railway system. The Bucharest Metro was only opened in 1979. Now is one of the most accessed systems of the Bucharest public transport network with an average ridership of 600,000 passengers during the workweek.']",Yes,1.0,0.9340824101483335,0.9999999999,0.5
Is the museum collection also the national art collection of Liechtenstein ?,There are also a Stamp and a Ski Museum.,['The other important museum is the Liechtenstein National Museum (Liechtensteinisches Landesmuseum) showing permanent exhibition on the cultural and natural history of Liechtenstein as well as special exhibitions. There are also a Stamp and a Ski Museum.'],Yes,1.0,0.8586328872172437,0.0,0.0
Why are sea otters nearly extinct?,humans hunted them almost to extinction,"['Sea otters (Enhydra lutris) live along the Pacific coast of North America.  Their historic range included shallow waters of the Bering Strait and Kamchatka, and as far south as Japan. Sea otters have some 200,000 hairs per square cm of skin, a rich fur for which humans hunted them almost to extinction. By the time the 1911 Fur Seal Treaty gave them protection, so few sea otters remained that the fur trade had become unprofitable.']",They've been hunted for their fur,1.0,0.9613846150737485,0.9999999999,1.0
Did John Adams represent the Continental Congress in Europe?,yes,"['Adams, a sponsor of the American Revolution in Massachusetts, was a driving force for independence in 1776; Jefferson called him the ""Colossus of Independence"". He represented the Continental Congress in Europe. He was a major negotiator of the eventual peace treaty with Great Britain, and chiefly responsible for obtaining the loans from the Amsterdam money market necessary for the conduct of the Revolution. His prestige secured his two elections as Washington\'s Vice President and his election to succeed him.   As President, he was frustrated by battles inside his own Federalist party against ']",Yes.,1.0,0.8915247884107235,0.9999999999,1.0
What do fossil and DNA evidence tell us?,The polar bear diverged from the brown bear roughly 200 thousand years ago.,"[""The ursidae family is believed to have differentiated from other carnivora about 38 million years ago. The ursinae genus originated some 4 million years ago. According to both fossil and DNA evidence, the polar bear diverged from the brown bear roughly 200 thousand years ago. The oldest known polar bear fossil is less than 100 thousand years old. Fossils show that between 10 and 20 thousand years ago the polar bear's molar teeth changed significantly from those of the brown bear.""]",The polar bear diverged from the brown bear about 200 thousand years ago.,1.0,0.7925609526781409,0.9999999999,1.0
Are Sports in Indonesia generally male-orientated?,yes,"['Indonesia has around 300 ethnic groups, each with cultural differences developed over centuries, and influenced by Arabic, Chinese, Malay, and European sources. Traditional Javanese and Balinese dances, for example, contain aspects of Hindu culture and mythology, as do wayang kulit (shadow puppet) performances. Textiles such as batik, ikat and songket are created across Indonesia in styles that vary by region. The most dominant influences on Indonesian architecture have traditionally been Indian; however, Chinese, Arab, and European architectural influences have been significant. The most popu']",yes,0.0,0.8643681363242669,0.0,0.0
When do wolves molt?,late spring or early summer,['Wolves molt in late spring or early summer.'],Late Spring or Early Summer,1.0,0.9878338800006072,0.9999999999,1.0
How do india and latin america relate?,Uruguay exports architectural services to India and Latin America,"[""Uruguay has a middle income economy, mainly dominated by the State services sector, an export-oriented agricultural sector and an industrial sector. Uruguay relies heavily on trade, particularly in agricultural exports, leaving the country particularly vulnerable to slumps in commodity prices and global economic slowdowns. After averaging growth of 5% annually in 1996-1998, in 1999-2001 the economy suffered from lower demand in Argentina and Brazil, which together account for nearly half of Uruguay's exports. Despite the severity of the trade shocks, Uruguay's financial indicators remained sta""]",Uruguay exports architectural services to India and Latin America,0.0,0.8475348873654763,0.0,0.0
Is Canada's official language Zulu?,yes,"[""Canada's two official languages are  English and French. Official Bilingualism in Canada is law, defined in the Canadian Charter of Rights and Freedoms, the Official Languages Act, and Official Language Regulations; it is applied by the Commissioner of Official Languages. English and French have equal status in federal courts, Parliament, and in all federal institutions. The public has the right, where there is sufficient demand, to receive federal government services in either English or French, and official language minorities are guaranteed their own schools in all provinces and territories""]",No.,1.0,0.8938302342371842,0.9999999999,1.0
Sea otters eat what?,shellfish and other invertebrates,"['Sea otters eat shellfish and other invertebrates (especially clams, abalone, and sea urchins ), frequently using rocks as crude tools to smash open shells. They grow to 1 to 1.5 m (2.5 to 5 feet) in length and weigh 30 kg (about 65 pounds). Although once near extinction, they have begun to spread again, from remnant populations in California and Alaska.']",Shellfish and other invertebrates,1.0,0.9724211731368668,0.9999999999,1.0
Where do wolves have scent glands?,all over their bodies,"['Wolves have scent glands all over their bodies, including at the base of the tail, between toes, and in the eyes, genitalia, and skin.  Pheromones secreted by these glands identify each individual wolf. A dominant wolf will ""rub"" its body against subordinate wolves to mark such wolves as being members of a particular pack. Wolves may also ""paw"" dirt to release pheromones instead of urine marking.']",Helping the woldf to effectively navigate over large expanses while concurrently keeping others informed of its whereabouts.,1.0,0.9999999999999997,0.0,0.0
Do carrion beetles eat dung?,yes,"['Decaying organic matter is a primary diet for many species. This can range from dung, which is consumed by coprophagous species such as certain scarab beetles (family Scarabaeidae), to dead animals, which are eaten by necrophagous species such as the carrion beetles (family Silphidae). Some of the beetles found within dung and carrion are in fact predatory, such as the clown beetles, preying on the larvae of coprophagous and necrophagous insects.']",no,0.0,0.8136283408460919,0.0,0.0
Felis pardus was what?,"one of the many species described in Linnaeus's 18th-century work, Systema Naturae.","[""Felis pardus was one of the many species described in Linnaeus's 18th-century work, Systema Naturae.""]","One of the many species described in Linnaeus's 18th-century work, Systema Naturae",1.0,0.9621339735289075,0.9999999999,1.0
"What does ""Era of Good Feelings"" refers to?",George Dangerfield,['* George Dangerfield. The Era of Good Feelings (1952). '],Reduced tension,0.0,0.9197974744672074,0.0,0.0
Was Lee Kuan Yew a successful leader of Singapore?,yes,"['In 2004, Lee Hsien Loong, the eldest son of Lee Kuan Yew, became the third prime minister.    Amongst his more notable decisions is the plan to open casinos to attract more foreign tourists.']",yes,0.0,0.9031760157190386,0.0,0.0
